make,models,hybrid_type,override_value,match_motive_power,match_import_status,match_vehicle_type,match_vehicle_year_min,match_vehicle_year_max,confidence,basis,note
SUZUKI,SWIFT,mild,PETROL MILD HYBRID,PETROL HYBRID,NZ New,,,,high,"Manufacturer specification, not row-verified: Suzuki 12V SHVS integrated starter-generator",All NZ-new Swift hybrids are 1197 cc.
SUZUKI,SWIFT,unresolved,,,Used Import,,,,low,"Japanese-market Swift hybrids include the 12V mild hybrid and the full hybrid (ZC43S); neither the model string nor engine size separates them",
SUZUKI,FRONX|IGNIS|XBEE|HUSTLER,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,high,"Manufacturer specification, not row-verified: Suzuki 12V SHVS / ENE-CHARGE integrated starter-generator",
SUZUKI,S-CROSS,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,high,"Manufacturer specification, not row-verified: Suzuki 48V mild hybrid on the 1.4 BoosterJet",All rows are 1373 cc.
SUZUKI,LANDY,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,high,"Manufacturer specification, not row-verified: a rebadged Nissan Serena S-Hybrid",
SUZUKI,SOLIO|BANDIT,unresolved,,,,,,,low,"Japanese-market Solio hybrids include the mild SHVS hybrid and the full hybrid (2016-2020); the model string does not separate them",
MITSUBISHI,DELICA,unresolved,,PETROL HYBRID,,,,,low,"The Delica D:2 is a rebadged Suzuki Solio, mild or full",
NISSAN,SERENA,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,high,"Manufacturer specification, not row-verified: Nissan S-Hybrid (ECO motor starter-generator)",Serena e-Power is recorded as PETROL ELECTRIC HYBRID; see the next row.
NISSAN,SERENA,full,,PETROL ELECTRIC HYBRID,,,,,high,"Manufacturer specification, not row-verified: Nissan e-Power series hybrid",
NISSAN,NOTE|KICKS|QASHQAI|AURA,full,,,,,,,high,"Manufacturer specification, not row-verified: Nissan e-Power series hybrid",
NISSAN,X-TRAIL,full,,PETROL ELECTRIC HYBRID,,,,,high,"Manufacturer specification, not row-verified: Nissan e-Power series hybrid",
NISSAN,X-TRAIL,full,,PETROL HYBRID,,,,,medium,"Manufacturer specification, not row-verified: Nissan one-motor two-clutch hybrid (2013-2017), which can drive on electric power",
NISSAN,SKYLINE|FUGA,full,,,,,,,high,"Manufacturer specification, not row-verified: Nissan one-motor two-clutch hybrid",
NISSAN,PATHFINDER,full,,,,,,,medium,"Manufacturer specification, not row-verified: Nissan one-motor two-clutch hybrid",
INFINITI,Q50,full,,,,,,,medium,"Manufacturer specification, not row-verified: Nissan one-motor two-clutch hybrid",
TOYOTA,AQUA|PRIUS|RAV4|COROLLA|C-HR|CAMRY|YARIS CROSS|YARIS|HIGHLANDER|SAI|ESTIMA|VITZ|ALPHARD|HARRIER|SIENTA|NOAH|VELLFIRE|AURIS|VOXY|CROWN|ESQUIRE|FIELDER|KLUGER|AXIO|PROBOX|SUCCEED|WISH|SPADE,full,,,,,,,high,"Manufacturer specification, not row-verified: Toyota Hybrid System (power-split full hybrid)",
TOYOTA,RAIZE,full,,,,,,,high,"Manufacturer specification, not row-verified: Daihatsu e-Smart Hybrid (series hybrid)",
TOYOTA,HILUX|LANDCRUISER,mild,,DIESEL HYBRID,,,,,high,"Manufacturer specification, not row-verified: Toyota 48V V-Active mild hybrid on the 2.8 diesel",DIESEL HYBRID already maps to Mild hybrid; no override.
LEXUS,CT200H|RX450H|IS300H|HS250H|NX300H|UX250H|NX|GS450H|RX|LBX|ES300H|UX|RX400H|RX450HL|LS600H|GS300H|RC 300H|LS600HL|LEXUS|RC300|LS600|HS250|RC300H|LS500H|NX350H|LM500H|LC500H|IS300,full,,,,,,,high,"Manufacturer specification, not row-verified: Lexus Hybrid Drive (power-split full hybrid)",
DAIHATSU,ALTIS|MEBIUS,full,,,,,,,high,"Manufacturer specification, not row-verified: rebadged Toyota hybrids",
DAIHATSU,ROCKY,full,,,,,,,high,"Manufacturer specification, not row-verified: Daihatsu e-Smart Hybrid (series hybrid)",
HONDA,VEZEL|GRACE|JADE|ACCORD|ODYSSEY|STEPWAGON|STEPWGN|ZRV|HR-V|CRV|CR-V|PRELUDE,full,,,,,,,high,"Manufacturer specification, not row-verified: Honda i-DCD, i-MMD or e:HEV full hybrid",
HONDA,CR-Z|CRZ|SPIKE,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,medium,"Honda IMA (Integrated Motor Assist): an assist motor that cannot drive the car on its own, commonly classed as a mild hybrid",Medium confidence because some sources class later IMA cars as full hybrids.
HONDA,FIT,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,2012,medium,"Honda IMA (Fit Hybrid, 2010-2013), commonly classed as a mild hybrid",
HONDA,FIT,mild,PETROL MILD HYBRID,PETROL ELECTRIC HYBRID,,,,2012,medium,"Honda IMA (Fit Hybrid, 2010-2013), commonly classed as a mild hybrid",
HONDA,FIT,unresolved,,,,,2013,2013,low,"Vehicle year 2013 mixes the IMA Fit Hybrid and the i-DCD Fit Hybrid launched in September 2013",
HONDA,FIT,full,,,,,2014,,high,"Manufacturer specification, not row-verified: Honda i-DCD (2013-2020) and e:HEV (2020-) full hybrids",
HONDA,INSIGHT,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,2014,medium,"Honda IMA (Insight, 1999-2014), commonly classed as a mild hybrid",
HONDA,INSIGHT,full,,,,,2018,,high,"Manufacturer specification, not row-verified: Honda i-MMD full hybrid (2018-)",
HONDA,CIVIC,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,2015,medium,"Honda IMA (Civic Hybrid, 2001-2015), commonly classed as a mild hybrid",
HONDA,CIVIC,full,,,,,2016,,high,"Manufacturer specification, not row-verified: Honda e:HEV full hybrid",
HONDA,JAZZ,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,2015,medium,"Honda IMA (Jazz Hybrid), commonly classed as a mild hybrid",
HONDA,JAZZ,full,,,,,2020,,high,"Manufacturer specification, not row-verified: Honda e:HEV full hybrid (2020-)",
HONDA,SHUTTLE,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,2014,medium,"Honda IMA (Fit Shuttle Hybrid, 2011-2015), commonly classed as a mild hybrid",
